 pmccullo / Coursera-Capstone-ShinyApp
Code  Issues 0  Pull requests 0  Projects 0  Wiki  Pulse  Community
full_twitter_lookup.csv
￼
"","ngram","freq","length","less1gram","less1gram_freq","hit_rate","suggest"
"1943","found out",13,"2","found",89,0.146067415730337,"out"
"4651","i saw a",7,"3","i saw",48,0.145833333333333,"a"
"4718","out to the",7,"3","out to",48,0.145833333333333,"the"
"4745","the other day",7,"3","the other",48,0.145833333333333,"day"
"4","of the",559,"2","of",3840,0.145572916666667,"the"
"4443","day to my",8,"3","day to",55,0.145454545454545,"my"
"4394","to start the",9,"3","to start",62,0.145161290322581,"the"
"355","please follow",48,"2","please",333,0.144144144144144,"follow"
"3889","back to the",19,"3","back to",132,0.143939393939394,"the"
"860","around the",24,"2","around",168,0.142857142857143,"the"
"4101","a few weeks",12,"3","a few",84,0.142857142857143,"weeks"
"2930","came to",9,"2","came",63,0.142857142857143,"to"
"3129","point of",9,"2","point",63,0.142857142857143,"of"
"3135","red sox",9,"2","red",63,0.142857142857143,"sox"
"4532","to find a",8,"3","to find",56,0.142857142857143,"a"
"4570","all my friends",7,"3","all my",49,0.142857142857143,"friends"
"4580","and we will",7,"3","and we",49,0.142857142857143,"will"
"4970","is like a",6,"3","is like",42,0.142857142857143,"a"
"4997","listen to the",6,"3","listen to",42,0.142857142857143,"the"
"5117","wants to be",6,"3","wants to",42,0.142857142857143,"be"
"5118","wants to go",6,"3","wants to",42,0.142857142857143,"go"
"5289","i think i might",6,"4","i think i",42,0.142857142857143,"might"
"5340","i had a dream",5,"4","i had a",35,0.142857142857143,"dream"
"5341","i had a great",5,"4","i had a",35,0.142857142857143,"great"
"1225","makes you",19,"2","makes",134,0.141791044776119,"you"
"1748","buy a",14,"2","buy",99,0.141414141414141,"a"
"2030","taking a",13,"2","taking",92,0.141304347826087,"a"
"3871","when i get",22,"3","when i",156,0.141025641025641,"get"
"2340","ah i",11,"2","ah",78,0.141025641025641,"i"
"2831","top of",10,"2","top",71,0.140845070422535,"of"
"4392","to know that",9,"3","to know",64,0.140625,"that"
"3787","have a great",51,"3","have a",363,0.140495867768595,"great"
"3750","won the",8,"2","won",57,0.140350877192982,"the"
"87","when you",124,"2","when",884,0.14027149321267,"you"
"4789","working on a",7,"3","working on",50,0.14,"a"
"5188","looking forward to seeing",13,"4","looking forward to",93,0.139784946236559,"seeing"
"5189","looking forward to the",13,"4","looking forward to",93,0.139784946236559,"the"
"1207","hit the",19,"2","hit",136,0.139705882352941,"the"
"4884","great day to",6,"3","great day",43,0.13953488372093,"to"
"4934","i still have",6,"3","i still",43,0.13953488372093,"have"
"4990","know if i",6,"3","know if",43,0.13953488372093,"i"
"4206","to hear about",11,"3","to hear",79,0.139240506329114,"about"
"5401","you for the rt",5,"4","you for the",36,0.138888888888889,"rt"
"3782","to be a",71,"3","to be",512,0.138671875,"a"
"3912","to have you",18,"3","to have",130,0.138461538461538,"you"
"3217","totally agree",9,"2","totally",65,0.138461538461538,"agree"
"4317","be in the",9,"3","be in",65,0.138461538461538,"the"
"3869","out of the",22,"3","out of",160,0.1375,"the"
"2559","weather is",11,"2","weather",80,0.1375,"is"
"4571","and get to",7,"3","and get",51,0.137254901960784,"to"
"379","first time",45,"2","first",328,0.13719512195122,"time"
"4272","ready to go",10,"3","ready to",73,0.136986301369863,"go"
"2018","set up",13,"2","set",95,0.136842105263158,"up"
